Geography,Unemployment rate
Johnson City TN Metro Area,0.052
Waco TX Metro Area,0.063
Wilmington NC Metro Area,0.072
Gadsden AL Metro Area,0.047
Gainesville GA Metro Area,0.035
San Antonio New Braunfels TX Metro Area,0.061
Bloomington IL Metro Area,0.033
Ottawa Peru IL Micro Area,0.084
Opelousas LA Micro Area,0.105
Sumter SC Metro Area,0.086
Oshkosh Neenah WI Metro Area,0.023
The Villages FL Metro Area,0.016
Ogden Clearfield UT Metro Area,0.037
Staunton Waynesboro VA Metro Area,0.103
Springfield IL Metro Area,0.083
Vallejo Fairfield CA Metro Area,0.106
Chico CA Metro Area,0.115
Providence Warwick RI MA Metro Area,0.064
Flint MI Metro Area,0.117
Wenatchee WA Metro Area,0.029
Burlington NC Metro Area,0.1
Vineland Bridgeton NJ Metro Area,0.03
Beckley WV Metro Area,0.058
Lancaster PA Metro Area,0.049
Morristown TN Metro Area,0.021
Oxnard Thousand Oaks Ventura CA Metro Area,0.058
Greeneville TN Micro Area,0.066
Roanoke VA Metro Area,0.073
Albuquerque NM Metro Area,0.079
Idaho Falls ID Metro Area,0.069
Albany OR Metro Area,0.123
Rapid City SD Metro Area,0.052
Bangor ME Metro Area,0.027
Las Vegas Henderson Paradise NV Metro Area,0.077
Fort Smith AR OK Metro Area,0.034
Aberdeen WA Micro Area,0.153
McAllen Edinburg Mission TX Metro Area,0.081
Austin Round Rock TX Metro Area,0.041
Ocala FL Metro Area,0.16
Keene NH Micro Area,0.086
Indiana PA Micro Area,0.023
Pittsfield MA Metro Area,0.046
Indianapolis Carmel Anderson IN Metro Area,0.059
Somerset PA Micro Area,0.034
Hutchinson KS Micro Area,0.044
Chattanooga TN GA Metro Area,0.067
Coeur dAlene ID Metro Area,0.039
Cape Coral Fort Myers FL Metro Area,0.048
Fresno CA Metro Area,0.084
Pine Bluff AR Metro Area,0.144
Wichita KS Metro Area,0.07
Syracuse NY Metro Area,0.051
Binghamton NY Metro Area,0.036
Goldsboro NC Metro Area,0.066
Bellingham WA Metro Area,0.036
Grand Junction CO Metro Area,0.092
South Bend Mishawaka IN MI Metro Area,0.07
Niles Benton Harbor MI Metro Area,0.107
Hartford West Hartford East Hartford CT Metro Area,0.074
Provo Orem UT Metro Area,0.041
Sunbury PA Micro Area,0.058
State College PA Metro Area,0.053
Kalispell MT Micro Area,0.034
Grants Pass OR Metro Area,0.137
Moses Lake WA Micro Area,0.11
Cookeville TN Micro Area,0.05
Ukiah CA Micro Area,0.054
Barnstable Town MA Metro Area,0.02
Erie PA Metro Area,0.077
Cleveland Elyria OH Metro Area,0.069
Green Bay WI Metro Area,0.04
Pittsburgh PA Metro Area,0.05
Greenwood SC Micro Area,0.049
Palm Bay Melbourne Titusville FL Metro Area,0.058
Sherman Denison TX Metro Area,0.037
Sebring FL Metro Area,0.139
Glens Falls NY Metro Area,0.026
Boulder CO Metro Area,0.04
North Port Sarasota Bradenton FL Metro Area,0.083
Monroe LA Metro Area,0.128
Dubuque IA Metro Area,0.052
Gainesville FL Metro Area,0.02
Manitowoc WI Micro Area,0.063
Sheboygan WI Metro Area,0.042
Knoxville TN Metro Area,0.062
Decatur AL Metro Area,0.09
Pensacola Ferry Pass Brent FL Metro Area,0.044
Jefferson City MO Metro Area,0.009
Wichita Falls TX Metro Area,0.067
Macon GA Metro Area,0.081
Bloomington IN Metro Area,0.045
Springfield MA Metro Area,0.104
Longview WA Metro Area,0.083
Saginaw MI Metro Area,0.065
Pueblo CO Metro Area,0.105
Corning NY Micro Area,0.048
Utica Rome NY Metro Area,0.069
Russellville AR Micro Area,0.083
Santa Cruz Watsonville CA Metro Area,0.028
Traverse City MI Micro Area,0.016
Trenton NJ Metro Area,0.097
Urban Honolulu HI Metro Area,0.063
Portsmouth OH Micro Area,0.122
Lebanon PA Metro Area,0.034
Little Rock North Little Rock Conway AR Metro Area,0.08
Statesboro GA Micro Area,0.028
Duluth MN WI Metro Area,0.048
Kalamazoo Portage MI Metro Area,0.074
Muncie IN Metro Area,0.03
Shawnee OK Micro Area,0.037
Fort Collins CO Metro Area,0.071
Lake Charles LA Metro Area,0.074
Kingston NY Metro Area,0.058
Chambersburg Waynesboro PA Metro Area,0.057
Marion OH Micro Area,0.163
Reno NV Metro Area,0.063
Hammond LA Metro Area,0.129
Quincy IL MO Micro Area,0.064
Medford OR Metro Area,0.101
Odessa TX Metro Area,0.053
Miami Fort Lauderdale West Palm Beach FL Metro Area,0.072
New Haven Milford CT Metro Area,0.096
Jonesboro AR Metro Area,0.052
Fargo ND MN Metro Area,0.037
Iowa City IA Metro Area,0.061
Buffalo Cheektowaga Niagara Falls NY Metro Area,0.047
LaGrange GA Micro Area,0.052
Owosso MI Micro Area,0.038
Orangeburg SC Micro Area,0.122
Port Angeles WA Micro Area,0.118
Augusta Richmond County GA SC Metro Area,0.086
San Jose Sunnyvale Santa Clara CA Metro Area,0.047
Springfield MO Metro Area,0.03
Brunswick GA Metro Area,0.086
Bakersfield CA Metro Area,0.117
Walla Walla WA Metro Area,0.117
Pocatello ID Metro Area,0.077
Minot ND Micro Area,0.047
Appleton WI Metro Area,0.028
Kahului Wailuku Lahaina HI Metro Area,0.026
Sacramento Roseville Arden Arcade CA Metro Area,0.066
New Bern NC Metro Area,0.096
Jacksonville FL Metro Area,0.059
Prescott AZ Metro Area,0.021
Charleston North Charleston SC Metro Area,0.041
Shreveport Bossier City LA Metro Area,0.075
Denver Aurora Lakewood CO Metro Area,0.041
Deltona Daytona Beach Ormond Beach FL Metro Area,0.071
Meridian MS Micro Area,0.077
Bozeman MT Micro Area,0.023
Cincinnati OH KY IN Metro Area,0.06
Des Moines West Des Moines IA Metro Area,0.046
Beaver Dam WI Micro Area,0.015
Las Cruces NM Metro Area,0.139
Huntington Ashland WV KY OH Metro Area,0.076
Branson MO Micro Area,0.093
Roanoke Rapids NC Micro Area,0.119
Huntsville TX Micro Area,0.071
Santa Rosa CA Metro Area,0.06
Colorado Springs CO Metro Area,0.067
Truckee Grass Valley CA Micro Area,0.072
Cedar Rapids IA Metro Area,0.045
Whitewater Elkhorn WI Micro Area,0.055
Fairbanks AK Metro Area,0.042
East Stroudsburg PA Metro Area,0.029
Warsaw IN Micro Area,0.068
Myrtle Beach Conway North Myrtle Beach SC NC Metro Area,0.066
Talladega Sylacauga AL Micro Area,0.116
Merced CA Metro Area,0.085
Orlando Kissimmee Sanford FL Metro Area,0.059
Grand Rapids Wyoming MI Metro Area,0.046
Casper WY Metro Area,0.034
Wilson NC Micro Area,0.068
Sierra Vista Douglas AZ Metro Area,0.105
St Joseph MO KS Metro Area,0.071
Harrisburg Carlisle PA Metro Area,0.022
Santa Fe NM Metro Area,0.023
Centralia WA Micro Area,0.067
Harrisonburg VA Metro Area,0.084
Topeka KS Metro Area,0.035
Boston Cambridge Newton MA NH Metro Area,0.049
Redding CA Metro Area,0.059
Battle Creek MI Metro Area,0.112
Dothan AL Metro Area,0.116
Great Falls MT Metro Area,0.083
Fayetteville NC Metro Area,0.12
San Diego Carlsbad CA Metro Area,0.051
Amarillo TX Metro Area,0.026
Rochester NY Metro Area,0.07
Auburn Opelika AL Metro Area,0.099
Lawrence KS Metro Area,0.014
St George UT Metro Area,0.008
Winston Salem NC Metro Area,0.084
Lafayette West Lafayette IN Metro Area,0.073
Frankfort KY Micro Area,0.02
Helena MT Micro Area,0.009
Farmington NM Metro Area,0.073
Stillwater OK Micro Area,0.001
Rome GA Metro Area,0.014
Waterloo Cedar Falls IA Metro Area,0.034
Daphne Fairhope Foley AL Metro Area,0.049
Mankato North Mankato MN Metro Area,0.026
Jackson MS Metro Area,0.066
Stockton Lodi CA Metro Area,0.115
Richmond Berea KY Micro Area,0.073
Longview TX Metro Area,0.107
Zanesville OH Micro Area,0.056
Bowling Green KY Metro Area,0.063
Clarksville TN KY Metro Area,0.04
Philadelphia Camden Wilmington PA NJ DE MD Metro Area,0.066
Yakima WA Metro Area,0.06
New Philadelphia Dover OH Micro Area,0.058
Bend Redmond OR Metro Area,0.055
New Orleans Metairie LA Metro Area,0.077
Klamath Falls OR Micro Area,0.043
Charlotte Concord Gastonia NC SC Metro Area,0.062
Show Low AZ Micro Area,0.132
Ogdensburg Massena NY Micro Area,0.045
Rockford IL Metro Area,0.113
Dalton GA Metro Area,0.044
Findlay OH Micro Area,0.046
Springfield OH Metro Area,0.083
Mansfield OH Metro Area,0.004
Midland MI Metro Area,0.121
Augusta Waterville ME Micro Area,0.042
Altoona PA Metro Area,0.033
Searcy AR Micro Area,0.042
Hagerstown Martinsburg MD WV Metro Area,0.059
Manhattan KS Metro Area,0.093
Raleigh NC Metro Area,0.061
Tyler TX Metro Area,0.017
Atlanta Sandy Springs Roswell GA Metro Area,0.061
Winchester VA WV Metro Area,0.021
Dunn NC Micro Area,0.027
Eugene OR Metro Area,0.062
Torrington CT Micro Area,0.075
Albany Schenectady Troy NY Metro Area,0.052
Ithaca NY Metro Area,0.027
Concord NH Micro Area,0.032
Houma Thibodaux LA Metro Area,0.071
Milwaukee Waukesha West Allis WI Metro Area,0.046
Scranton Wilkes Barre Hazleton PA Metro Area,0.083
Jackson TN Metro Area,0.05
Bloomsburg Berwick PA Metro Area,0.077
Marion IN Micro Area,0.016
Florence SC Metro Area,0.097
Williamsport PA Metro Area,0.048
Washington Arlington Alexandria DC VA MD WV Metro Area,0.046
Houston The Woodlands Sugar Land TX Metro Area,0.059
Stevens Point WI Micro Area,0.058
Elizabeth City NC Micro Area,0.017
Warner Robins GA Metro Area,0.048
Nashville Davidson Murfreesboro Franklin TN Metro Area,0.038
Rochester MN Metro Area,0.046
Abilene TX Metro Area,0.03
Sebastian Vero Beach FL Metro Area,0.044
Lafayette LA Metro Area,0.093
San Francisco Oakland Hayward CA Metro Area,0.045
Virginia Beach Norfolk Newport News VA NC Metro Area,0.053
El Paso TX Metro Area,0.06
Lake Havasu City Kingman AZ Metro Area,0.106
Laurel MS Micro Area,0.125
Youngstown Warren Boardman OH PA Metro Area,0.095
Oak Harbor WA Micro Area,0.112
Tucson AZ Metro Area,0.085
Lexington Fayette KY Metro Area,0.036
Punta Gorda FL Metro Area,0.112
Beaumont Port Arthur TX Metro Area,0.052
Plattsburgh NY Micro Area,0.137
Mobile AL Metro Area,0.098
Richmond IN Micro Area,0.058
Asheville NC Metro Area,0.034
Lewiston ID WA Metro Area,0.085
Portland Vancouver Hillsboro OR WA Metro Area,0.063
Grand Island NE Metro Area,0.034
Chicago Naperville Elgin IL IN WI Metro Area,0.055
Salem OR Metro Area,0.058
Grand Forks ND MN Metro Area,0.005
Lufkin TX Micro Area,0.033
Pinehurst Southern Pines NC Micro Area,0.03
Muskegon MI Metro Area,0.082
Yuma AZ Metro Area,0.125
Memphis TN MS AR Metro Area,0.093
Peoria IL Metro Area,0.066
Alexandria LA Metro Area,0.132
Naples Immokalee Marco Island FL Metro Area,0.054
Kansas City MO KS Metro Area,0.039
Lincoln NE Metro Area,0.011
Oklahoma City OK Metro Area,0.043
Twin Falls ID Micro Area,0.01
Chillicothe OH Micro Area,0.063
Modesto CA Metro Area,0.101
Hickory Lenoir Morganton NC Metro Area,0.128
Carson City NV Metro Area,0.004
Detroit Warren Dearborn MI Metro Area,0.086
Jacksonville NC Metro Area,0.127
Charleston WV Metro Area,0.067
Huntsville AL Metro Area,0.094
Joplin MO Metro Area,0.043
Cumberland MD WV Metro Area,0.066
Alamogordo NM Micro Area,0.049
Riverside San Bernardino Ontario CA Metro Area,0.085
Crestview Fort Walton Beach Destin FL Metro Area,0.032
Danville IL Metro Area,0.087
Terre Haute IN Metro Area,0.098
Greenville Anderson Mauldin SC Metro Area,0.072
Cheyenne WY Metro Area,0.025
Athens TX Micro Area,0.004
Martinsville VA Micro Area,0.148
Texarkana TX AR Metro Area,0.133
Monroe MI Metro Area,0.093
Logan UT ID Metro Area,0.024
Baltimore Columbia Towson MD Metro Area,0.063
Tulsa OK Metro Area,0.044
Mount Airy NC Micro Area,0.025
Lynchburg VA Metro Area,0.029
Charleston Mattoon IL Micro Area,0.034
Ashtabula OH Micro Area,0.202
Muskogee OK Micro Area,0.074
Janesville Beloit WI Metro Area,0.063
Ann Arbor MI Metro Area,0.028
Spartanburg SC Metro Area,0.084
Claremont Lebanon NH VT Micro Area,0.011
Toledo OH Metro Area,0.075
Ames IA Metro Area,0.053
Canton Massillon OH Metro Area,0.071
El Centro CA Metro Area,0.162
Rocky Mount NC Metro Area,0.087
DuBois PA Micro Area,0.042
Salisbury MD DE Metro Area,0.086
Ocean City NJ Metro Area,0.098
Faribault Northfield MN Micro Area,0.031
San Luis Obispo Paso Robles Arroyo Grande CA Metro Area,0.042
Davenport Moline Rock Island IA IL Metro Area,0.067
Bridgeport Stamford Norwalk CT Metro Area,0.086
Kingsport Bristol Bristol TN VA Metro Area,0.079
Marshall TX Micro Area,0.133
Minneapolis St Paul Bloomington MN WI Metro Area,0.038
New Castle PA Micro Area,0.042
Champaign Urbana IL Metro Area,0.03
Port St Lucie FL Metro Area,0.044
Sioux City IA NE SD Metro Area,0.011
Albany GA Metro Area,0.12
Tampa St Petersburg Clearwater FL Metro Area,0.084
Elmira NY Metro Area,0.083
Paducah KY IL Micro Area,0.028
Gallup NM Micro Area,0.164
Elizabethtown Fort Knox KY Metro Area,0.092
Columbia MO Metro Area,0.058
Tullahoma Manchester TN Micro Area,0.061
Burlington South Burlington VT Metro Area,0.032
Pottsville PA Micro Area,0.074
Boise City ID Metro Area,0.041
Lake City FL Micro Area,0.102
Meadville PA Micro Area,0.027
California Lexington Park MD Metro Area,0.025
Kennewick Richland WA Metro Area,0.044
Brownsville Harlingen TX Metro Area,0.083
Seneca SC Micro Area,0.107
Killeen Temple TX Metro Area,0.101
Valdosta GA Metro Area,0.225
Hermiston Pendleton OR Micro Area,0.021
Corpus Christi TX Metro Area,0.101
Florence Muscle Shoals AL Metro Area,0.098
Hinesville GA Metro Area,0.107
Portland South Portland ME Metro Area,0.023
Cape Girardeau MO IL Metro Area,0.025
Dayton OH Metro Area,0.075
Hattiesburg MS Metro Area,0.118
Reading PA Metro Area,0.076
Laredo TX Metro Area,0.069
Morehead City NC Micro Area,0.052
Forest City NC Micro Area,0.055
Midland TX Metro Area,0.015
Athens Clarke County GA Metro Area,0.047
Hilton Head Island Bluffton Beaufort SC Metro Area,0.108
Spokane Spokane Valley WA Metro Area,0.115
Napa CA Metro Area,0.083
Wausau WI Metro Area,0.01
Lansing East Lansing MI Metro Area,0.033
Worcester MA CT Metro Area,0.049
Mount Pleasant MI Micro Area,0.078
Salinas CA Metro Area,0.072
Madison WI Metro Area,0.034
Manchester Nashua NH Metro Area,0.045
Anchorage AK Metro Area,0.049
Fort Wayne IN Metro Area,0.096
St Cloud MN Metro Area,0.033
Marinette WI MI Micro Area,0.029
Greensboro High Point NC Metro Area,0.047
Anniston Oxford Jacksonville AL Metro Area,0.087
Albertville AL Micro Area,0.061
Durham Chapel Hill NC Metro Area,0.043
Panama City FL Metro Area,0.025
Clearlake CA Micro Area,0.019
Cullman AL Micro Area,0.038
Johnstown PA Metro Area,0.074
Olean NY Micro Area,0.079
Watertown Fort Atkinson WI Micro Area,0.032
St Louis MO IL Metro Area,0.053
Parkersburg Vienna WV Metro Area,0.019
Evansville IN KY Metro Area,0.034
Columbus GA AL Metro Area,0.061
Yuba City CA Metro Area,0.071
Michigan City La Porte IN Metro Area,0.22
Lakeland Winter Haven FL Metro Area,0.082
Bremerton Silverdale WA Metro Area,0.042
Homosassa Springs FL Metro Area,0.158
Akron OH Metro Area,0.061
Palatka FL Micro Area,0.12
Wisconsin Rapids Marshfield WI Micro Area,0.022
Santa Maria Santa Barbara CA Metro Area,0.045
Columbus IN Metro Area,0.042
La Crosse Onalaska WI MN Metro Area,0.04
Salt Lake City UT Metro Area,0.037
Eureka Arcata Fortuna CA Micro Area,0.038
Hobbs NM Micro Area,0.035
Tuscaloosa AL Metro Area,0.036
Shelby NC Micro Area,0.084
Brainerd MN Micro Area,0.071
Norwich New London CT Metro Area,0.054
Dover DE Metro Area,0.088
Coos Bay OR Micro Area,0.027
Louisville Jefferson County KY IN Metro Area,0.073
Lubbock TX Metro Area,0.057
Omaha Council Bluffs NE IA Metro Area,0.026
Savannah GA Metro Area,0.073
Baton Rouge LA Metro Area,0.066
Atlantic City Hammonton NJ Metro Area,0.093
Gulfport Biloxi Pascagoula MS Metro Area,0.042
Hanford Corcoran CA Metro Area,0.063
Sioux Falls SD Metro Area,0.015
Lewiston Auburn ME Metro Area,0.005
Montgomery AL Metro Area,0.039
Richmond VA Metro Area,0.059
College Station Bryan TX Metro Area,0.062
Fayetteville Springdale Rogers AR MO Metro Area,0.039
Kokomo IN Metro Area,0.106
Hot Springs AR Metro Area,0.099
