text,labels,processed_text,bigrams,trigrams,labels_num
 A GlobalPlatform card offers Confidentiality - in which data being transmitted from the sending entity (the off-card entity or card) to the receiving entity (respectively the card or off-card entity) is not viewable by an unauthenticated entity.,sec,"['globalplatform', 'card', 'offer', 'confidentiality', 'datum', 'transmit', 'send', 'entity', 'card', 'entity', 'card', 'receive', 'entity', 'respectively', 'card', 'card', 'entity', 'viewable', 'unauthenticated', 'entity']","['globalplatform', 'card', 'offer', 'confidentiality', 'datum', 'transmit', 'send', 'entity', 'card', 'entity', 'card', 'receive', 'entity', 'respectively', 'card', 'card', 'entity', 'viewable', 'unauthenticated', 'entity']","['globalplatform', 'card', 'offer', 'confidentiality', 'datum', 'transmit', 'send', 'entity', 'card', 'entity', 'card', 'receive', 'entity', 'respectively', 'card', 'card', 'entity', 'viewable', 'unauthenticated', 'entity']",1
Successful authentication is a prerequisite for the processing of any on-line or offline CEPS transaction,sec,"['successful', 'authentication', 'prerequisite', 'processing', 'line', 'offline', 'ceps', 'transaction']","['successful', 'authentication', 'prerequisite', 'processing', 'line', 'offline', 'ceps', 'transaction']","['successful', 'authentication', 'prerequisite', 'processing', 'line', 'offline', 'ceps', 'transaction']",1
CNDs connected to the CPN and devoted to specific NGN managed services shall be remotely manageable.,nonsec,"['cnd', 'connect', 'cpn', 'devote', 'specific', 'ngn', 'manage', 'service', 'shall', 'remotely', 'manageable']","['cnd', 'connect', 'cpn', 'devote', 'specific', 'ngn', 'manage', 'service', 'shall', 'remotely', 'manageable']","['cnd', 'connect', 'cpn', 'devote', 'specific', 'ngn', 'manage', 'service', 'shall', 'remotely', 'manageable']",0
The CNG shall implement a privacy protection policy specifying as a minimum private and critical information.,sec,"['cng', 'shall', 'implement', 'privacy', 'protection', 'policy', 'specify', 'minimum', 'private', 'critical', 'information']","['cng', 'shall', 'implement', 'privacy', 'protection', 'policy', 'specify', 'minimum', 'private', 'critical', 'information']","['cng', 'shall', 'implement', 'privacy', 'protection', 'policy', 'specify', 'minimum', 'private', 'critical', 'information']",1
 When applicable a Security Domain shall Verify the load file data block signature when requested by the OPEN.,sec,"['applicable', 'security', 'domain', 'shall', 'verify', 'load', 'file', 'data', 'block', 'signature', 'request', 'open']","['applicable', 'security_domain', 'shall', 'verify', 'load_file', 'data_block', 'signature', 'request', 'open']","['applicable_security_domain', 'shall', 'verify', 'load_file_data_block', 'signature', 'request', 'open']",1
" On cards that are aware of logical channels, the MANAGE CHANNEL commands are only processed by the OPEN and are not dispatched to an Application.",nonsec,"['card', 'aware', 'logical', 'channel', 'manage', 'channel', 'command', 'process', 'open', 'dispatch', 'application']","['card', 'aware', 'logical_channel', 'manage', 'channel', 'command', 'process', 'open', 'dispatch', 'application']","['card', 'aware', 'logical_channel', 'manage', 'channel', 'command', 'process', 'open', 'dispatch', 'application']",0
The timing of payment to the merchant must be established between the merchant and the merchant acquirer,nonsec,"['timing', 'payment', 'merchant', 'establish', 'merchant', 'merchant', 'acquirer']","['timing', 'payment', 'merchant', 'establish', 'merchant', 'merchant_acquirer']","['timing', 'payment', 'merchant', 'establish', 'merchant', 'merchant_acquirer']",0
"CPN environment shall be protected with a stateful firewall function, that may be implemented in the CNG.",sec,"['cpn', 'environment', 'shall', 'protect', 'stateful', 'firewall', 'function', 'implement', 'cng']","['cpn', 'environment', 'shall', 'protect', 'stateful', 'firewall', 'function', 'implement', 'cng']","['cpn', 'environment', 'shall', 'protect', 'stateful', 'firewall', 'function', 'implement', 'cng']",1
" The OPEN shall Ensure that application code has been signed by the Controlling Authority represented on the card,",sec,"['open', 'shall', 'ensure', 'application', 'code', 'sign', 'controlling', 'authority', 'represent', 'card']","['open', 'shall', 'ensure', 'application', 'code', 'sign', 'controlling', 'authority', 'represent', 'card']","['open', 'shall', 'ensure', 'application', 'code', 'sign', 'controlling', 'authority', 'represent', 'card']",1
"The CNG and the Customer Network shall provide the opportunity for a customer network administrator to perform service and network-related configuration. According to the service/network provider choices, the CNG and Customer Network may prevent - user initiated modification of network and service related parameters.",nonsec,"['cng', 'customer', 'network', 'shall', 'provide', 'opportunity', 'customer', 'network', 'administrator', 'perform', 'service', 'network', 'relate', 'configuration', 'accord', 'service', 'network', 'provider', 'choice', 'cng', 'customer', 'network', 'prevent', 'user', 'initiate', 'modification', 'network', 'service', 'relate', 'parameter']","['cng', 'customer_network', 'shall', 'provide', 'opportunity', 'customer_network', 'administrator', 'perform', 'service', 'network', 'relate', 'configuration', 'accord', 'service', 'network', 'provider', 'choice', 'cng', 'customer_network', 'prevent', 'user', 'initiate', 'modification', 'network', 'service', 'relate', 'parameter']","['cng', 'customer_network', 'shall', 'provide', 'opportunity', 'customer_network', 'administrator', 'perform', 'service', 'network', 'relate', 'configuration', 'accord', 'service', 'network', 'provider', 'choice', 'cng', 'customer_network', 'prevent', 'user', 'initiate', 'modification', 'network', 'service', 'relate', 'parameter']",0
 Security Domains enforce the security policies of their off-card Security Domain Provider.,sec,"['security', 'domain', 'enforce', 'security', 'policie', 'card', 'security', 'domain', 'provider']","['security_domain', 'enforce', 'security', 'policie', 'card', 'security_domain', 'provider']","['security_domain', 'enforce', 'security', 'policie', 'card', 'security_domain', 'provider']",1
Off-line PIN verification must include both encrypted and unencrypted PIN,sec,"['line', 'pin', 'verification', 'include', 'encrypt', 'unencrypted', 'pin']","['line_pin', 'verification', 'include', 'encrypt', 'unencrypted', 'pin']","['line_pin_verification', 'include', 'encrypt', 'unencrypted', 'pin']",1
" The Card Issuer is responsible for Generating and loading the Issuer Security Domain keys,",sec,"['card', 'issuer', 'responsible', 'generating', 'load', 'issuer', 'security', 'domain', 'key']","['card', 'issuer', 'responsible', 'generating', 'load', 'issuer', 'security_domain', 'key']","['card_issuer', 'responsible', 'generating', 'load', 'issuer_security_domain', 'key']",1
Unloads are permitted only to an account controlled by the card issuer and are performed only at a load device under the control of the card issuer,sec,"['unload', 'permit', 'account', 'control', 'card', 'issuer', 'perform', 'load', 'device', 'control', 'card', 'issuer']","['unload', 'permit', 'account', 'control', 'card', 'issuer', 'perform', 'load', 'device', 'control', 'card', 'issuer']","['unload', 'permit', 'account', 'control', 'card_issuer', 'perform', 'load_device', 'control', 'card_issuer']",1
"The CPN (trough CNDs and/or CNG) shall support manual configuration to insert information to access IMS network (e.g. IMPU, IMPI, Shared keys, Home Network Domain or P-CSCF IP Address, etc.).",nonsec,"['cpn', 'trough', 'cnd', 'cng', 'shall', 'support', 'manual', 'configuration', 'insert', 'information', 'access', 'ims', 'network', 'impu', 'impi', 'share', 'key', 'home', 'network', 'domain', 'p', 'cscf', 'address', 'etc']","['cpn', 'trough', 'cnd', 'cng', 'shall', 'support', 'manual', 'configuration', 'insert', 'information', 'access', 'ims', 'network', 'impu', 'impi', 'share', 'key', 'home', 'network', 'domain', 'p', 'cscf', 'address', 'etc']","['cpn', 'trough', 'cnd', 'cng', 'shall', 'support', 'manual', 'configuration', 'insert', 'information', 'access', 'ims', 'network', 'impu', 'impi', 'share', 'key', 'home', 'network', 'domain', 'p', 'cscf', 'address', 'etc']",0
" If a full or partial match is found and this Application is in the Life Cycle State INSTALLED, continue searching through the GlobalPlatform Registry for a subsequent full or partial match. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",nonsec,"['partial', 'match', 'find', 'application', 'life', 'cycle', 'state', 'instal', 'continue', 'search', 'globalplatform', 'registry', 'subsequent', 'partial', 'match', 'subsequent', 'partial', 'match', 'find', 'open', 'shall', 'return', 'appropriate', 'error', 'card', 'entity']","['partial_match', 'find', 'application', 'life_cycle', 'state', 'instal', 'continue', 'search', 'globalplatform_registry', 'subsequent_partial', 'match', 'subsequent_partial', 'match_find', 'open', 'shall', 'return_appropriate', 'error', 'card', 'entity']","['partial_match_find', 'application', 'life_cycle_state', 'instal', 'continue', 'search_globalplatform_registry', 'subsequent_partial', 'match', 'subsequent_partial_match_find', 'open', 'shall', 'return_appropriate_error', 'card', 'entity']",0
" The OPEN shall Ensure that the Card Content changes are authorized by the Card Issuer,",sec,"['open', 'shall', 'ensure', 'card', 'content', 'change', 'authorize', 'card', 'issuer']","['open', 'shall', 'ensure', 'card', 'content', 'change', 'authorize', 'card', 'issuer']","['open', 'shall', 'ensure', 'card', 'content', 'change', 'authorize', 'card_issuer']",1
The card issuer and the merchant acquirer also authenticate the transaction when they receive it,sec,"['card', 'issuer', 'merchant', 'acquirer', 'authenticate', 'transaction', 'receive']","['card', 'issuer', 'merchant_acquirer', 'authenticate', 'transaction', 'receive']","['card_issuer', 'merchant_acquirer', 'authenticate', 'transaction', 'receive']",1
" At any time during a Card Session that has already contained a SELECT [by name] [first or only occurrence] command, the OPEN may receive a request to select a next Application (SELECT [by name] [next occurrence] command) on the Basic Logical Channel. The OPEN shall determine if the requested AID matches or partially matches another entry within the GlobalPlatform Registry and whether this entry is selectable.",nonsec,"['time', 'card', 'session', 'contain', 'select', 'occurrence', 'command', 'open', 'receive', 'request', 'select', 'application', 'select', 'occurrence', 'command', 'basic', 'logical', 'channel', 'open', 'shall', 'determine', 'request', 'aid', 'match', 'partially', 'match', 'entry', 'globalplatform', 'registry', 'entry', 'selectable']","['time', 'card', 'session', 'contain', 'select_occurrence', 'command', 'open', 'receive', 'request', 'select_application', 'select_occurrence', 'command', 'basic_logical', 'channel', 'open', 'shall', 'determine', 'request', 'aid', 'match', 'partially', 'match', 'entry', 'globalplatform_registry', 'entry', 'selectable']","['time', 'card', 'session', 'contain', 'select_occurrence', 'command', 'open', 'receive', 'request', 'select_application', 'select_occurrence', 'command', 'basic_logical_channel', 'open', 'shall', 'determine', 'request', 'aid', 'match', 'partially', 'match', 'entry', 'globalplatform_registry', 'entry', 'selectable']",0
 The concept of the Life Cycle of the card (see section 5.1 - Card Life Cycle) may be used to determine the security level of the communication between the card and an off-card entity.,nonsec,"['concept', 'life', 'cycle', 'card', 'section', 'card', 'life', 'cycle', 'determine', 'security', 'level', 'communication', 'card', 'card', 'entity']","['concept', 'life_cycle', 'card', 'section', 'card', 'life_cycle', 'determine', 'security', 'level', 'communication', 'card', 'card', 'entity']","['concept', 'life_cycle', 'card', 'section', 'card', 'life_cycle', 'determine', 'security', 'level', 'communication', 'card', 'card', 'entity']",0
Send transactions to other processors in a standard format defined in agreement with the scheme provider,nonsec,"['send', 'transaction', 'processor', 'standard', 'format', 'define', 'agreement', 'scheme', 'provider']","['send', 'transaction', 'processor', 'standard', 'format', 'define', 'agreement', 'scheme_provider']","['send', 'transaction', 'processor', 'standard', 'format', 'define', 'agreement', 'scheme_provider']",0
The user should be able to personalize bookmarks to UGC.,nonsec,"['user', 'able', 'personalize', 'bookmark', 'ugc']","['user', 'able', 'personalize', 'bookmark', 'ugc']","['user', 'able', 'personalize', 'bookmark', 'ugc']",0
"The time period during which a cardholder can unload electronic value, perform a purchase or a currency exchange from an expired card may be determined by each issuer",nonsec,"['time', 'period', 'cardholder', 'unload', 'electronic', 'value', 'perform', 'purchase', 'currency', 'exchange', 'expire', 'card', 'determine', 'issuer']","['time', 'period', 'cardholder', 'unload', 'electronic', 'value', 'perform', 'purchase', 'currency_exchange', 'expire', 'card', 'determine', 'issuer']","['time', 'period', 'cardholder', 'unload', 'electronic', 'value', 'perform', 'purchase', 'currency_exchange', 'expire', 'card', 'determine', 'issuer']",0
"The CNG and devices shall support mechanisms to identify and share information about the customer network devices (e.g. type of device and basic capabilities, services supported etc.) within the customer environment. Some of this information can be used locally, while a subset of it can be forwarded to the NGN.",nonsec,"['cng', 'device', 'shall', 'support', 'mechanism', 'identify', 'share', 'information', 'customer', 'network', 'device', 'type', 'device', 'basic', 'capability', 'service', 'support', 'etc', 'customer', 'environment', 'information', 'locally', 'subset', 'forward', 'ngn']","['cng', 'device', 'shall', 'support_mechanism', 'identify', 'share', 'information', 'customer_network', 'device', 'type', 'device', 'basic', 'capability', 'service', 'support', 'etc', 'customer', 'environment', 'information', 'locally', 'subset', 'forward', 'ngn']","['cng', 'device', 'shall_support_mechanism', 'identify', 'share', 'information', 'customer_network', 'device', 'type', 'device', 'basic', 'capability', 'service', 'support', 'etc', 'customer_environment', 'information', 'locally', 'subset', 'forward', 'ngn']",0
" Once an Application becomes the selected Application on a Supplementary Logical Channel, the responsibility for subsequent command dispatching still rests with the OPEN.",nonsec,"['application', 'select', 'application', 'supplementary', 'logical', 'channel', 'responsibility', 'subsequent', 'command', 'dispatch', 'rest', 'open']","['application', 'select_application', 'supplementary_logical', 'channel', 'responsibility', 'subsequent', 'command_dispatch', 'rest', 'open']","['application', 'select_application', 'supplementary_logical_channel', 'responsibility', 'subsequent', 'command_dispatch', 'rest', 'open']",0
The CND should be able to communicate its services related capabilities to the CNG.,nonsec,"['cnd', 'able', 'communicate', 'service', 'relate', 'capability', 'cng']","['cnd', 'able', 'communicate', 'service', 'relate', 'capability', 'cng']","['cnd', 'able', 'communicate', 'service', 'relate', 'capability', 'cng']",0
"There may be multiple certification authorities that manage keys for the system, including the possibility of one overall highest level certification authority (perhaps on an international level), and domestic certification authorities for each country or region",sec,"['multiple', 'certification', 'authority', 'manage', 'key', 'system', 'include', 'possibility', 'overall', 'high', 'level', 'certification', 'authority', 'international', 'level', 'domestic', 'certification', 'authority', 'country', 'region']","['multiple', 'certification', 'authority', 'manage', 'key', 'system', 'include', 'possibility', 'overall', 'high', 'level', 'certification', 'authority', 'international', 'level', 'domestic', 'certification', 'authority', 'country', 'region']","['multiple', 'certification', 'authority', 'manage', 'key', 'system', 'include', 'possibility', 'overall', 'high', 'level', 'certification', 'authority', 'international', 'level', 'domestic', 'certification', 'authority', 'country', 'region']",1
" When applicable a Security Domain shall Return to the off-card entity any receipt for load, install, extradition, and delete,",nonsec,"['applicable', 'security', 'domain', 'shall', 'return', 'card', 'entity', 'receipt', 'load', 'install', 'extradition', 'delete']","['applicable', 'security_domain', 'shall', 'return', 'card', 'entity', 'receipt', 'load', 'install', 'extradition', 'delete']","['applicable_security_domain', 'shall', 'return', 'card', 'entity', 'receipt', 'load', 'install', 'extradition', 'delete']",0
 The Issuer Security Domain shall implement one Secure Channel Protocol.,sec,"['issuer', 'security', 'domain', 'shall', 'implement', 'secure', 'channel', 'protocol']","['issuer', 'security_domain', 'shall', 'implement', 'secure', 'channel', 'protocol']","['issuer_security_domain', 'shall', 'implement', 'secure', 'channel', 'protocol']",1
The CNG may support mechanisms supporting nomadism of the users and their subscribed services from one physical customer environment to another.,nonsec,"['cng', 'support', 'mechanism', 'support', 'nomadism', 'user', 'subscribe', 'service', 'physical', 'customer', 'environment']","['cng', 'support_mechanism', 'support', 'nomadism', 'user', 'subscribe', 'service', 'physical', 'customer', 'environment']","['cng', 'support_mechanism', 'support', 'nomadism', 'user', 'subscribe', 'service', 'physical', 'customer_environment']",0
"The capacity of the authorized entities should depend on the security policies defined by the service providers, managing the CNG.",sec,"['capacity', 'authorize', 'entity', 'depend', 'security', 'policy', 'define', 'service', 'provider', 'manage', 'cng']","['capacity', 'authorize', 'entity', 'depend', 'security', 'policy', 'define', 'service', 'provider', 'manage', 'cng']","['capacity', 'authorize', 'entity', 'depend', 'security', 'policy', 'define', 'service', 'provider', 'manage', 'cng']",1
In case of multicast flows the CNG shall keep a record of which devices are subscribed to which multicast group.,nonsec,"['case', 'multicast', 'flow', 'cng', 'shall', 'record', 'device', 'subscribe', 'multicast', 'group']","['case', 'multicast', 'flow', 'cng', 'shall', 'record', 'device', 'subscribe', 'multicast', 'group']","['case', 'multicast', 'flow', 'cng', 'shall', 'record', 'device', 'subscribe', 'multicast', 'group']",0
STB or media gateways should be equipped with a programmable open API allowing the implementation of specific service logics.,nonsec,"['stb', 'medium', 'gateway', 'equipped', 'programmable', 'open', 'api', 'allow', 'implementation', 'specific', 'service', 'logic']","['stb_medium', 'gateway', 'equipped', 'programmable', 'open', 'api', 'allow', 'implementation', 'specific', 'service', 'logic']","['stb_medium_gateway', 'equipped', 'programmable', 'open', 'api', 'allow', 'implementation', 'specific', 'service', 'logic']",0
On receipt of a valid (i.e. authorized) request for access to a CNG hosted service or application the CNG shall provide the requested service or application to the requesting user.,sec,"['receipt', 'valid', 'authorize', 'request', 'access', 'cng', 'host', 'service', 'application', 'cng', 'shall', 'provide', 'request', 'service', 'application', 'request', 'user']","['receipt', 'valid', 'authorize', 'request', 'access', 'cng', 'host', 'service', 'application', 'cng', 'shall', 'provide', 'request', 'service', 'application', 'request', 'user']","['receipt', 'valid', 'authorize', 'request', 'access', 'cng', 'host', 'service', 'application', 'cng', 'shall', 'provide', 'request', 'service', 'application', 'request', 'user']",1
 The GlobalPlatform Registry is a data store required to support the various system functions of the GlobalPlatform.,nonsec,"['globalplatform', 'registry', 'datum', 'store', 'require', 'support', 'system', 'function', 'globalplatform']","['globalplatform_registry', 'datum', 'store', 'require', 'support', 'system', 'function', 'globalplatform']","['globalplatform_registry', 'datum', 'store', 'require', 'support', 'system', 'function', 'globalplatform']",0
"The CNG should negotiate session parameters (bandwidth, screen resolution, codecs…) with the NGN transparently to the user.",nonsec,"['cng', 'negotiate', 'session', 'parameter', 'bandwidth', 'screen', 'resolution', 'codecs', 'ngn', 'transparently', 'user']","['cng', 'negotiate', 'session', 'parameter', 'bandwidth', 'screen', 'resolution', 'codecs', 'ngn', 'transparently', 'user']","['cng', 'negotiate', 'session', 'parameter', 'bandwidth', 'screen', 'resolution', 'codecs', 'ngn', 'transparently', 'user']",0
The issuer validates S1 to authenticate the card and the data to be used in the transaction,sec,"['issuer', 'validate', 'authenticate', 'card', 'datum', 'transaction']","['issuer', 'validate', 'authenticate', 'card', 'datum', 'transaction']","['issuer', 'validate', 'authenticate', 'card', 'datum', 'transaction']",1
The load device also provides for verification of the identity of the cardholder (with either on-line or off-line PIN verification) and forwards verification data in the authorization request,sec,"['load', 'device', 'provide', 'verification', 'identity', 'cardholder', 'line', 'line', 'pin', 'verification', 'forwards', 'verification', 'datum', 'authorization', 'request']","['load', 'device', 'provide', 'verification', 'identity', 'cardholder', 'line', 'line_pin', 'verification', 'forwards', 'verification', 'datum', 'authorization', 'request']","['load_device', 'provide', 'verification', 'identity', 'cardholder', 'line', 'line_pin_verification', 'forwards', 'verification', 'datum', 'authorization', 'request']",1
" Secure memory management shall ensure that The previous contents of the memory is not accessible when that memory is reused,",sec,"['secure', 'memory', 'management', 'shall', 'ensure', 'previous', 'content', 'memory', 'accessible', 'memory', 'reuse']","['secure', 'memory', 'management', 'shall', 'ensure', 'previous', 'content', 'memory', 'accessible', 'memory', 'reuse']","['secure', 'memory', 'management', 'shall', 'ensure', 'previous', 'content', 'memory', 'accessible', 'memory', 'reuse']",1
" The OPEN shall own the GlobalPlatform register that contains information for managing the card, Executable Load Files,Applications, Security Domain associations, and privileges.",nonsec,"['open', 'shall', 'globalplatform', 'register', 'contain', 'information', 'manage', 'card', 'executable', 'load', 'file', 'applications', 'security', 'domain', 'association', 'privilege']","['open', 'shall', 'globalplatform', 'register', 'contain', 'information', 'manage', 'card', 'executable_load', 'file', 'applications', 'security_domain', 'association', 'privilege']","['open', 'shall', 'globalplatform', 'register', 'contain', 'information', 'manage', 'card', 'executable_load_file', 'applications', 'security_domain', 'association', 'privilege']",0
On detection of any system failure or discontinuity not specifically handled by other mechanisms the CNG shall revert to a known safe state.,sec,"['detection', 'system', 'failure', 'discontinuity', 'specifically', 'handle', 'mechanism', 'cng', 'shall', 'revert', 'know', 'safe', 'state']","['detection', 'system', 'failure', 'discontinuity', 'specifically', 'handle', 'mechanism', 'cng', 'shall', 'revert', 'know', 'safe', 'state']","['detection', 'system', 'failure', 'discontinuity', 'specifically', 'handle', 'mechanism', 'cng', 'shall', 'revert', 'know', 'safe', 'state']",1
" When applicable a Security Domain shall Generate receipts for load, install, extradition, and delete,",nonsec,"['applicable', 'security', 'domain', 'shall', 'generate', 'receipt', 'load', 'install', 'extradition', 'delete']","['applicable', 'security_domain', 'shall', 'generate', 'receipt', 'load', 'install', 'extradition', 'delete']","['applicable_security_domain', 'shall', 'generate', 'receipt', 'load', 'install', 'extradition', 'delete']",0
The card issuer must establish its policies for assigning and adjusting slot maximum balances. These policies may require the card issuer to maintain a card database,nonsec,"['card', 'issuer', 'establish', 'policy', 'assign', 'adjust', 'slot', 'maximum', 'balance', 'policy', 'require', 'card', 'issuer', 'maintain', 'card', 'database']","['card', 'issuer', 'establish', 'policy', 'assign', 'adjust', 'slot', 'maximum_balance', 'policy', 'require', 'card', 'issuer', 'maintain', 'card', 'database']","['card_issuer', 'establish', 'policy', 'assign', 'adjust', 'slot', 'maximum_balance', 'policy', 'require', 'card_issuer', 'maintain', 'card', 'database']",0
It should be possible for a service profile to be associated with each identity within a CPN subscription.,nonsec,"['possible', 'service', 'profile', 'associate', 'identity', 'cpn', 'subscription']","['possible', 'service', 'profile', 'associate', 'identity', 'cpn', 'subscription']","['possible', 'service', 'profile', 'associate', 'identity', 'cpn', 'subscription']",0
"In order to support the NGN services and intra-CPN communications, all the CNDs in the CPN shall be addressable directly or by the mean of the CNG using L2/L3 mechanisms.",nonsec,"['order', 'support', 'ngn', 'service', 'intra', 'cpn', 'communication', 'cnd', 'cpn', 'shall', 'addressable', 'directly', 'mean', 'cng', 'mechanism']","['order', 'support', 'ngn', 'service', 'intra', 'cpn', 'communication', 'cnd', 'cpn', 'shall', 'addressable', 'directly', 'mean', 'cng', 'mechanism']","['order', 'support', 'ngn', 'service', 'intra', 'cpn', 'communication', 'cnd', 'cpn', 'shall', 'addressable', 'directly', 'mean', 'cng', 'mechanism']",0
