Geography,Live with a partner,Live Alone
Portland Vancouver Hillsboro OR WA Metro Area,0.487,0.512
Port St Lucie FL Metro Area,0.486,0.514
Pottsville PA Micro Area,0.475,0.525
Raleigh NC Metro Area,0.515,0.485
Reading PA Metro Area,0.479,0.521
Redding CA Metro Area,0.496,0.504
Reno NV Metro Area,0.462,0.538
Richmond VA Metro Area,0.455,0.545
Riverside San Bernardino Ontario CA Metro Area,0.463,0.537
Roanoke VA Metro Area,0.48,0.519
Rochester MN Metro Area,0.566,0.433
Rochester NY Metro Area,0.457,0.543
Rockford IL Metro Area,0.49,0.509
Rocky Mount NC Metro Area,0.394,0.606
St Louis MO IL Metro Area,0.478,0.521
Salem OR Metro Area,0.489,0.51
Salinas CA Metro Area,0.434,0.567
Salisbury MD DE Metro Area,0.496,0.503
Salt Lake City UT Metro Area,0.508,0.492
San Antonio New Braunfels TX Metro Area,0.46,0.54
San Diego Carlsbad CA Metro Area,0.46,0.539
San Francisco Oakland Hayward CA Metro Area,0.481,0.519
San Jose Sunnyvale Santa Clara CA Metro Area,0.531,0.469
San Luis Obispo Paso Robles Arroyo Grande CA Metro Area,0.477,0.523
Santa Cruz Watsonville CA Metro Area,0.447,0.553
Santa Maria Santa Barbara CA Metro Area,0.455,0.545
Santa Rosa CA Metro Area,0.469,0.531
Savannah GA Metro Area,0.449,0.551
Scranton Wilkes Barre Hazleton PA Metro Area,0.443,0.558
Seattle Tacoma Bellevue WA Metro Area,0.502,0.499
Show Low AZ Micro Area,0.485,0.515
Shreveport Bossier City LA Metro Area,0.439,0.56
Sierra Vista Douglas AZ Metro Area,0.52,0.481
Sioux City IA NE SD Metro Area,0.507,0.494
Sioux Falls SD Metro Area,0.529,0.47
Somerset PA Micro Area,0.513,0.486
South Bend Mishawaka IN MI Metro Area,0.466,0.534
Spartanburg SC Metro Area,0.468,0.533
Spokane Spokane Valley WA Metro Area,0.492,0.509
Springfield IL Metro Area,0.468,0.532
Springfield MA Metro Area,0.4,0.601
Springfield MO Metro Area,0.505,0.495
Springfield OH Metro Area,0.472,0.529
Stockton Lodi CA Metro Area,0.477,0.523
Syracuse NY Metro Area,0.441,0.559
Tallahassee FL Metro Area,0.369,0.63
Tampa St Petersburg Clearwater FL Metro Area,0.45,0.55
Terre Haute IN Metro Area,0.452,0.549
Texarkana TX AR Metro Area,0.435,0.566
Trenton NJ Metro Area,0.468,0.533
Tucson AZ Metro Area,0.441,0.559
Tulsa OK Metro Area,0.513,0.486
Tuscaloosa AL Metro Area,0.393,0.607
Urban Honolulu HI Metro Area,0.498,0.502
Utica Rome NY Metro Area,0.444,0.555
Vallejo Fairfield CA Metro Area,0.457,0.543
Vineland Bridgeton NJ Metro Area,0.388,0.612
Virginia Beach Norfolk Newport News VA NC Metro Area,0.464,0.536
Visalia Porterville CA Metro Area,0.461,0.54
Waco TX Metro Area,0.485,0.515
Washington Arlington Alexandria DC VA MD WV Metro Area,0.483,0.518
Watertown Fort Drum NY Metro Area,0.535,0.464
Wheeling WV OH Metro Area,0.498,0.501
Wichita KS Metro Area,0.485,0.514
Wichita Falls TX Metro Area,0.455,0.545
Wilmington NC Metro Area,0.463,0.537
Winston Salem NC Metro Area,0.5,0.499
